カテゴリー名,大分類,中分類,小分類,商品数,作成日時
食料品>その他加工食品>ピザ・グラタン,食料品,その他加工食品,ピザ・グラタン,1,2025-12-29T21:10:28.288604
食料品>その他加工食品>フルーツ缶詰,食料品,その他加工食品,フルーツ缶詰,3,2025-12-29T21:07:12.665615
食料品>その他加工食品>プロテイン,食料品,その他加工食品,プロテイン,3,2025-12-29T22:42:02.925178
食料品>その他加工食品>メンマ,食料品,その他加工食品,メンマ,3,2025-12-29T21:11:04.163314
食料品>その他加工食品>中華調味料,食料品,その他加工食品,中華調味料,1,2025-12-29T22:00:04.232392
食料品>その他加工食品>乾物・乾燥野菜,食料品,その他加工食品,乾物・乾燥野菜,0,2025-12-29T20:57:25.194406
食料品>その他加工食品>佃煮・惣菜,食料品,その他加工食品,佃煮・惣菜,0,2025-12-29T20:56:25.950646
食料品>その他加工食品>佃煮・煮豆,食料品,その他加工食品,佃煮・煮豆,1,2025-12-29T21:09:26.602068
食料品>その他加工食品>健康食品,食料品,その他加工食品,健康食品,2,2025-12-29T21:59:51.599428
食料品>その他加工食品>冷凍食品,食料品,その他加工食品,冷凍食品,3,2025-12-29T21:16:32.046186
食料品>その他加工食品>卵加工品,食料品,その他加工食品,卵加工品,1,2025-12-30T01:57:55.509107
食料品>その他加工食品>合わせ調味料,食料品,その他加工食品,合わせ調味料,2,2025-12-29T21:57:34.301772
食料品>その他加工食品>和菓子,食料品,その他加工食品,和菓子,0,2025-12-29T20:57:57.041425
食料品>その他加工食品>和風・中華・エスニック調味料,食料品,その他加工食品,和風・中華・エスニック調味料,1,2025-12-29T22:00:08.42454
食料品>その他加工食品>大豆加工品,食料品,その他加工食品,大豆加工品,2,2025-12-29T21:03:24.924469
食料品>その他加工食品>惣菜,食料品,その他加工食品,惣菜,10,2025-12-29T20:57:27.502976
食料品>その他加工食品>惣菜の素,食料品,その他加工食品,惣菜の素,1,2025-12-29T22:00:53.607287
食料品>その他加工食品>惣菜・お弁当,食料品,その他加工食品,惣菜・お弁当,1,2025-12-29T21:07:08.141451
食料品>その他加工食品>惣菜・お惣菜,食料品,その他加工食品,惣菜・お惣菜,4,2025-12-29T21:00:26.994938
食料品>その他加工食品>惣菜・ミールキット,食料品,その他加工食品,惣菜・ミールキット,1,2025-12-29T21:57:23.205694
食料品>その他加工食品>惣菜・レトルト,食料品,その他加工食品,惣菜・レトルト,1,2025-12-29T21:04:05.269898
食料品>その他加工食品>惣菜・弁当,食料品,その他加工食品,惣菜・弁当,4,2025-12-29T21:01:17.453709
食料品>その他加工食品>惣菜・惣菜の素,食料品,その他加工食品,惣菜・惣菜の素,1,2025-12-29T21:57:48.360777
食料品>その他加工食品>惣菜・調味料セット,食料品,その他加工食品,惣菜・調味料セット,1,2025-12-29T21:57:39.906121
食料品>その他加工食品>惣菜・調理済み食品,食料品,その他加工食品,惣菜・調理済み食品,5,2025-12-29T21:01:43.812772
食料品>その他加工食品>惣菜・調理済食品,食料品,その他加工食品,惣菜・調理済食品,0,2025-12-29T21:01:15.623995
食料品>その他加工食品>春巻,食料品,その他加工食品,春巻,1,2025-12-29T21:07:34.89929
食料品>その他加工食品>洋菓子,食料品,その他加工食品,洋菓子,1,2025-12-30T01:56:30.930374
食料品>その他加工食品>漬物,食料品,その他加工食品,漬物,8,2025-12-29T20:57:11.790313
食料品>その他加工食品>漬物・キムチ,食料品,その他加工食品,漬物・キムチ,0,2025-12-29T21:00:05.122203
食料品>その他加工食品>漬物・佃煮,食料品,その他加工食品,漬物・佃煮,1,2025-12-29T20:58:47.666898
食料品>その他加工食品>漬物・惣菜,食料品,その他加工食品,漬物・惣菜,3,2025-12-29T20:58:55.405479
食料品>その他加工食品>炒め物・煮物用調味料,食料品,その他加工食品,炒め物・煮物用調味料,1,2025-12-29T21:58:26.152663
食料品>その他加工食品>点心,食料品,その他加工食品,点心,1,2025-12-29T21:07:40.411169
食料品>その他加工食品>点心・飲茶,食料品,その他加工食品,点心・飲茶,1,2025-12-29T21:07:52.049292
食料品>その他加工食品>煮物・惣菜,食料品,その他加工食品,煮物・惣菜,1,2025-12-29T21:10:20.482309
食料品>その他加工食品>煮豆,食料品,その他加工食品,煮豆,1,2025-12-29T21:11:19.520118
食料品>その他加工食品>発酵調味料,食料品,その他加工食品,発酵調味料,1,2025-12-29T21:58:45.719313
食料品>その他加工食品>納豆,食料品,その他加工食品,納豆,13,2025-12-29T21:00:07.656769
食料品>その他加工食品>練り物,食料品,その他加工食品,練り物,3,2025-12-29T21:00:30.741837
食料品>その他加工食品>肉加工品,食料品,その他加工食品,肉加工品,3,2025-12-29T22:43:18.25795
食料品>その他加工食品>菓子,食料品,その他加工食品,菓子,1,2025-12-30T01:57:47.146992
食料品>その他加工食品>調味料,食料品,その他加工食品,調味料,2,2025-12-29T21:07:06.010685
食料品>その他加工食品>調味料・たれ・つゆ,食料品,その他加工食品,調味料・たれ・つゆ,1,2025-12-29T21:57:28.731063
食料品>その他加工食品>調味料・たれ・ルー,食料品,その他加工食品,調味料・たれ・ルー,1,2025-12-29T21:58:31.959968
食料品>その他加工食品>調理済み食品,食料品,その他加工食品,調理済み食品,1,2025-12-29T21:06:23.007848
食料品>その他加工食品>豆腐,食料品,その他加工食品,豆腐,1,2025-12-29T21:13:06.435116
食料品>その他加工食品>豆腐・大豆加工品,食料品,その他加工食品,豆腐・大豆加工品,4,2025-12-29T21:00:17.048517
食料品>その他加工食品>豆腐・大豆製品,食料品,その他加工食品,豆腐・大豆製品,5,2025-12-29T21:01:29.762968
食料品>その他加工食品>豆腐・惣菜,食料品,その他加工食品,豆腐・惣菜,5,2025-12-29T21:12:09.303417
食料品>その他加工食品>豆腐・油揚げ,食料品,その他加工食品,豆腐・油揚げ,0,2025-12-29T21:05:44.273575
食料品>その他加工食品>豆腐・納豆,食料品,その他加工食品,豆腐・納豆,0,2025-12-29T21:05:38.082404
食料品>その他加工食品>豆腐・納豆・こんにゃく,食料品,その他加工食品,豆腐・納豆・こんにゃく,0,2025-12-29T21:01:25.768825
食料品>その他加工食品>豆腐加工品,食料品,その他加工食品,豆腐加工品,1,2025-12-29T21:15:53.398889
食料品>その他加工食品>野菜加工品,食料品,その他加工食品,野菜加工品,1,2025-12-29T22:09:33.385606
食料品>その他加工食品>雑炊・スープ,食料品,その他加工食品,雑炊・スープ,0,2025-12-29T21:06:56.393015
食料品>その他加工食品>食肉加工品,食料品,その他加工食品,食肉加工品,2,2025-12-29T22:43:24.102187
食料品>その他加工食品>餅・団子,食料品,その他加工食品,餅・団子,1,2025-12-29T22:02:20.512513
食料品>その他加工食品>魚介乾製品,食料品,その他加工食品,魚介乾製品,1,2025-12-29T21:09:12.682575
食料品>その他加工食品>魚介加工品,食料品,その他加工食品,魚介加工品,12,2025-12-29T20:56:41.565883
食料品>その他加工食品>魚介類加工品,食料品,その他加工食品,魚介類加工品,3,2025-12-29T21:08:36.058814
食料品>その他加工食品>魚肉加工品,食料品,その他加工食品,魚肉加工品,1,2025-12-29T22:25:19.337685
食料品>その他加工食品>麺類,食料品,その他加工食品,麺類,0,2025-12-29T21:01:09.169948
食料品>その他加工食品>麻婆豆腐の素,食料品,その他加工食品,麻婆豆腐の素,1,2025-12-29T22:00:41.504953
食料品>その他飲料>その他,食料品,その他飲料,その他,12,2025-12-29T22:41:00.412052
食料品>その他飲料>その他飲料,食料品,その他飲料,その他飲料,19,2025-12-29T22:44:08.426932
食料品>その他飲料>スポーツドリンク,食料品,その他飲料,スポーツドリンク,1,2025-12-30T01:59:03.707401
食料品>その他飲料>プロテイン飲料,食料品,その他飲料,プロテイン飲料,2,2025-12-29T22:49:08.75938
食料品>その他飲料>乳酸菌飲料,食料品,その他飲料,乳酸菌飲料,6,2025-12-29T22:40:54.761355
食料品>その他飲料>乳飲料,食料品,その他飲料,乳飲料,7,2025-12-29T22:46:31.711415
食料品>その他飲料>栄養ドリンク,食料品,その他飲料,栄養ドリンク,1,2025-12-30T02:02:13.201795
食料品>その他飲料>栄養・健康飲料,食料品,その他飲料,栄養・健康飲料,1,2025-12-29T22:43:12.685583
食料品>その他飲料>植物性飲料,食料品,その他飲料,植物性飲料,1,2025-12-30T01:09:24.486808
食料品>その他飲料>機能性表示食品,食料品,その他飲料,機能性表示食品,1,2025-12-30T01:08:36.243401
食料品>その他飲料>清涼飲料水,食料品,その他飲料,清涼飲料水,2,2025-12-29T22:47:52.698957
食料品>その他飲料>牛乳,食料品,その他飲料,牛乳,1,2025-12-30T01:08:07.030187
食料品>その他飲料>甘酒,食料品,その他飲料,甘酒,1,2025-12-30T01:09:57.116818
食料品>その他飲料>豆乳,食料品,その他飲料,豆乳,20,2025-12-29T22:41:45.420652
食料品>その他飲料>豆乳・植物性飲料,食料品,その他飲料,豆乳・植物性飲料,1,2025-12-29T22:48:03.058197
食料品>その他飲料>豆乳飲料,食料品,その他飲料,豆乳飲料,5,2025-12-29T22:41:49.125951
食料品>はちみつ>その他はちみつ,食料品,はちみつ,その他はちみつ,0,2025-12-29T20:58:51.450746
食料品>はちみつ>はちみつ,食料品,はちみつ,はちみつ,28,2025-12-29T05:22:07.186183
食料品>はちみつ>オリゴ糖,食料品,はちみつ,オリゴ糖,1,2025-12-29T20:49:55.030253
食料品>はちみつ>マヌカハニー,食料品,はちみつ,マヌカハニー,1,2025-12-30T02:04:59.963677
食料品>はちみつ>梅干し・漬物,食料品,はちみつ,梅干し・漬物,1,2025-12-29T21:11:43.322866
食料品>インスタント・レトルト食品>おかゆ,食料品,インスタント・レトルト食品,おかゆ,2,2025-12-29T22:13:38.88322
食料品>インスタント・レトルト食品>その他,食料品,インスタント・レトルト食品,その他,2,2025-12-29T22:37:54.384946
食料品>インスタント・レトルト食品>その他インスタント・レトルト,食料品,インスタント・レトルト食品,その他インスタント・レトルト,3,2025-12-29T22:12:30.551415
食料品>インスタント・レトルト食品>その他インスタント・レトルト食品,食料品,インスタント・レトルト食品,その他インスタント・レトルト食品,31,2025-12-29T22:09:44.921004
食料品>インスタント・レトルト食品>その他レトルト・惣菜,食料品,インスタント・レトルト食品,その他レトルト・惣菜,1,2025-12-29T22:14:05.272945
食料品>インスタント・レトルト食品>その他加工食品,食料品,インスタント・レトルト食品,その他加工食品,25,2025-12-29T22:08:07.783681
食料品>インスタント・レトルト食品>みそ汁,食料品,インスタント・レトルト食品,みそ汁,2,2025-12-29T22:24:19.764112
食料品>インスタント・レトルト食品>インスタントスープ,食料品,インスタント・レトルト食品,インスタントスープ,4,2025-12-29T22:23:23.357848
食料品>インスタント・レトルト食品>インスタントラーメン,食料品,インスタント・レトルト食品,インスタントラーメン,40,2025-12-29T22:18:01.218618
食料品>インスタント・レトルト食品>インスタント・レトルト食品,食料品,インスタント・レトルト食品,インスタント・レトルト食品,1,2025-12-29T22:16:13.923
食料品>インスタント・レトルト食品>インスタント・レトルト麺,食料品,インスタント・レトルト食品,インスタント・レトルト麺,1,2025-12-29T22:16:10.009138
食料品>インスタント・レトルト食品>インスタント味噌汁,食料品,インスタント・レトルト食品,インスタント味噌汁,45,2025-12-29T22:23:05.769455
食料品>インスタント・レトルト食品>インスタント味噌汁・スープ,食料品,インスタント・レトルト食品,インスタント味噌汁・スープ,2,2025-12-29T22:24:42.454701
食料品>インスタント・レトルト食品>インスタント麺,食料品,インスタント・レトルト食品,インスタント麺,53,2025-12-29T22:17:59.196984
食料品>インスタント・レトルト食品>カップ麺,食料品,インスタント・レトルト食品,カップ麺,41,2025-12-29T22:18:03.453988
食料品>インスタント・レトルト食品>カップ麺・インスタント麺,食料品,インスタント・レトルト食品,カップ麺・インスタント麺,3,2025-12-29T22:20:52.617052
食料品>インスタント・レトルト食品>カップ麺・カップ惣菜,食料品,インスタント・レトルト食品,カップ麺・カップ惣菜,1,2025-12-29T22:22:00.878993
食料品>インスタント・レトルト食品>カップ麺・袋麺,食料品,インスタント・レトルト食品,カップ麺・袋麺,2,2025-12-29T22:21:02.645676
食料品>インスタント・レトルト食品>カレー,食料品,インスタント・レトルト食品,カレー,28,2025-12-29T22:10:53.59192
食料品>インスタント・レトルト食品>カレールー・スープ,食料品,インスタント・レトルト食品,カレールー・スープ,3,2025-12-29T22:11:34.765614
食料品>インスタント・レトルト食品>カレー・シチュー,食料品,インスタント・レトルト食品,カレー・シチュー,5,2025-12-29T22:11:16.473075
食料品>インスタント・レトルト食品>シチュー・スープ,食料品,インスタント・レトルト食品,シチュー・スープ,1,2025-12-29T22:12:23.296668
食料品>インスタント・レトルト食品>スープ,食料品,インスタント・レトルト食品,スープ,2,2025-12-29T22:07:55.808693
食料品>インスタント・レトルト食品>スープ・みそ汁,食料品,インスタント・レトルト食品,スープ・みそ汁,2,2025-12-29T22:07:51.567767
食料品>インスタント・レトルト食品>デザート,食料品,インスタント・レトルト食品,デザート,6,2025-12-29T22:25:55.944135
食料品>インスタント・レトルト食品>デザート・スイーツ,食料品,インスタント・レトルト食品,デザート・スイーツ,2,2025-12-29T22:25:41.393705
食料品>インスタント・レトルト食品>パスタソース,食料品,インスタント・レトルト食品,パスタソース,56,2025-12-29T22:15:07.014363
食料品>インスタント・レトルト食品>パスタ・ソース,食料品,インスタント・レトルト食品,パスタ・ソース,1,2025-12-29T22:17:36.032656
食料品>インスタント・レトルト食品>パスタ・麺類,食料品,インスタント・レトルト食品,パスタ・麺類,2,2025-12-29T22:15:28.018191
食料品>インスタント・レトルト食品>レトルト,食料品,インスタント・レトルト食品,レトルト,1,2025-12-29T22:25:04.236894
食料品>インスタント・レトルト食品>レトルトカレー,食料品,インスタント・レトルト食品,レトルトカレー,6,2025-12-29T22:11:10.361145
食料品>インスタント・レトルト食品>レトルトカレー・シチュー,食料品,インスタント・レトルト食品,レトルトカレー・シチュー,1,2025-12-29T22:11:38.724766
食料品>インスタント・レトルト食品>レトルトカレー・ソース,食料品,インスタント・レトルト食品,レトルトカレー・ソース,1,2025-12-29T22:17:51.151831
食料品>インスタント・レトルト食品>レトルトカレー・ハヤシ,食料品,インスタント・レトルト食品,レトルトカレー・ハヤシ,4,2025-12-29T22:11:14.297025
食料品>インスタント・レトルト食品>レトルトカレー・パスタソース,食料品,インスタント・レトルト食品,レトルトカレー・パスタソース,2,2025-12-29T22:15:23.705658
食料品>インスタント・レトルト食品>レトルトパスタソース,食料品,インスタント・レトルト食品,レトルトパスタソース,1,2025-12-29T22:17:11.228193
食料品>インスタント・レトルト食品>丼の素,食料品,インスタント・レトルト食品,丼の素,2,2025-12-29T22:13:52.872334
食料品>インスタント・レトルト食品>味噌汁,食料品,インスタント・レトルト食品,味噌汁,1,2025-12-29T22:24:58.305239
食料品>インスタント・レトルト食品>惣菜・おかず,食料品,インスタント・レトルト食品,惣菜・おかず,1,2025-12-29T22:09:07.904255
食料品>インスタント・レトルト食品>炊き込みご飯の素,食料品,インスタント・レトルト食品,炊き込みご飯の素,5,2025-12-29T22:13:07.849321
食料品>インスタント・レトルト食品>缶詰,食料品,インスタント・レトルト食品,缶詰,2,2025-12-29T22:07:57.733989
食料品>インスタント・レトルト食品>缶詰・瓶詰,食料品,インスタント・レトルト食品,缶詰・瓶詰,1,2025-12-29T22:10:36.978078
食料品>インスタント・レトルト食品>釜めしの素,食料品,インスタント・レトルト食品,釜めしの素,1,2025-12-29T22:12:44.378927
食料品>インスタント・レトルト食品>魚介加工品,食料品,インスタント・レトルト食品,魚介加工品,2,2025-12-29T22:09:15.936593
食料品>インスタント・レトルト食品>魚介類加工品,食料品,インスタント・レトルト食品,魚介類加工品,4,2025-12-29T22:09:51.716585
食料品>インスタント・レトルト食品>麺類,食料品,インスタント・レトルト食品,麺類,2,2025-12-29T22:21:40.051366
食料品>カレールー・スープ>その他,食料品,カレールー・スープ,その他,8,2025-12-29T21:56:54.525064
食料品>カレールー・スープ>その他カレー,食料品,カレールー・スープ,その他カレー,1,2025-12-29T22:00:59.868402
食料品>カレールー・スープ>その他カレールー・スープ,食料品,カレールー・スープ,その他カレールー・スープ,2,2025-12-29T22:00:57.760241
食料品>カレールー・スープ>その他カレー・シチュー,食料品,カレールー・スープ,その他カレー・シチュー,3,2025-12-29T21:56:48.639199
食料品>カレールー・スープ>その他スープ,食料品,カレールー・スープ,その他スープ,4,2025-12-29T21:58:36.146685
食料品>カレールー・スープ>その他ソース・ルー,食料品,カレールー・スープ,その他ソース・ルー,1,2025-12-29T22:00:12.318971
食料品>カレールー・スープ>その他加工食品,食料品,カレールー・スープ,その他加工食品,7,2025-12-29T21:57:02.231588
食料品>カレールー・スープ>その他調味料,食料品,カレールー・スープ,その他調味料,6,2025-12-29T22:00:14.530319
食料品>カレールー・スープ>その他調味料・たれ,食料品,カレールー・スープ,その他調味料・たれ,1,2025-12-29T22:00:30.790141
食料品>カレールー・スープ>その他調理用スープ,食料品,カレールー・スープ,その他調理用スープ,1,2025-12-29T22:05:20.549321
食料品>カレールー・スープ>カレー,食料品,カレールー・スープ,カレー,1,2025-12-29T21:57:11.871671
食料品>カレールー・スープ>カレールー,食料品,カレールー・スープ,カレールー,29,2025-12-29T21:55:00.514245
食料品>カレールー・スープ>カレー類,食料品,カレールー・スープ,カレー類,17,2025-12-29T21:55:18.10144
食料品>カレールー・スープ>コンソメ,食料品,カレールー・スープ,コンソメ,4,2025-12-29T22:06:33.685536
食料品>カレールー・スープ>コンソメ・ブイヨン,食料品,カレールー・スープ,コンソメ・ブイヨン,1,2025-12-29T22:07:11.391326
食料品>カレールー・スープ>シチュー,食料品,カレールー・スープ,シチュー,1,2025-12-29T21:56:37.286478
食料品>カレールー・スープ>シチュールー,食料品,カレールー・スープ,シチュールー,8,2025-12-29T21:56:29.506149
食料品>カレールー・スープ>シチュー・クリーム,食料品,カレールー・スープ,シチュー・クリーム,1,2025-12-29T21:56:44.855862
食料品>カレールー・スープ>シチュー・クリームシチュー,食料品,カレールー・スープ,シチュー・クリームシチュー,1,2025-12-29T21:56:22.084009
食料品>カレールー・スープ>スパイス・香辛料,食料品,カレールー・スープ,スパイス・香辛料,1,2025-12-29T21:57:04.076426
食料品>カレールー・スープ>スープ,食料品,カレールー・スープ,スープ,62,2025-12-29T21:20:07.969462
食料品>カレールー・スープ>スープの素,食料品,カレールー・スープ,スープの素,8,2025-12-29T22:01:59.889726
食料品>カレールー・スープ>スープ・雑炊,食料品,カレールー・スープ,スープ・雑炊,1,2025-12-29T22:06:11.145744
食料品>カレールー・スープ>ハヤシライスソース,食料品,カレールー・スープ,ハヤシライスソース,1,2025-12-29T21:56:50.860779
食料品>カレールー・スープ>中華調味料,食料品,カレールー・スープ,中華調味料,3,2025-12-29T22:00:22.632713
食料品>カレールー・スープ>鍋つゆ,食料品,カレールー・スープ,鍋つゆ,18,2025-12-29T22:03:19.038978
食料品>カレールー・スープ>鍋つゆ・スープ,食料品,カレールー・スープ,鍋つゆ・スープ,1,2025-12-29T22:04:19.021119
食料品>カレールー・スープ>鍋の素,食料品,カレールー・スープ,鍋の素,4,2025-12-29T22:03:37.139953
食料品>カレールー・スープ>鍋スープ,食料品,カレールー・スープ,鍋スープ,2,2025-12-29T22:03:26.476218
食料品>カレールー・スープ>鍋スープ・だし,食料品,カレールー・スープ,鍋スープ・だし,1,2025-12-29T22:04:13.223779
食料品>カレー類>その他カレー,食料品,カレー類,その他カレー,3,2025-12-29T21:03:07.658778
食料品>カレー類>その他カレー・シチュー,食料品,カレー類,その他カレー・シチュー,3,2025-12-29T21:17:05.125891
食料品>カレー類>カレー,食料品,カレー類,カレー,58,2025-12-29T05:22:13.576256
食料品>カレー類>カレー>カレー商品,食料品,カレー類,カレー>カレー商品,4,2025-12-29T20:48:25.83962
食料品>カレー類>カレールウ,食料品,カレー類,カレールウ,2,2025-12-29T21:06:41.609387
食料品>カレー類>カレー商品,食料品,カレー類,カレー商品,19,2025-12-29T05:22:13.742938
食料品>カレー類>シチュー,食料品,カレー類,シチュー,4,2025-12-29T21:03:48.858922
食料品>カレー類>シチュー・グラタン,食料品,カレー類,シチュー・グラタン,0,2025-12-29T21:03:55.078352
食料品>カレー類>シチュー・ハヤシライス,食料品,カレー類,シチュー・ハヤシライス,0,2025-12-29T21:03:46.72095
食料品>カレー類>ハッシュドビーフ,食料品,カレー類,ハッシュドビーフ,1,2025-12-29T21:57:13.666903
食料品>カレー類>ビーフカレー,食料品,カレー類,ビーフカレー,1,2025-12-29T21:06:54.209562
食料品>カレー類>レトルトカレー,食料品,カレー類,レトルトカレー,1,2025-12-29T21:02:54.913506
食料品>カレー類>レトルト食品,食料品,カレー類,レトルト食品,11,2025-12-29T05:22:13.648517
食料品>カレー類>鍋スープ,食料品,カレー類,鍋スープ,1,2025-12-29T21:19:45.588836
食料品>コーヒー・紅茶・飲料>その他飲料,食料品,コーヒー・紅茶・飲料,その他飲料,1,2025-12-29T21:10:29.679619
食料品>コーヒー・紅茶・飲料>乳酸菌飲料,食料品,コーヒー・紅茶・飲料,乳酸菌飲料,1,2025-12-29T21:16:14.336157
食料品>コーヒー・紅茶・飲料>砂糖,食料品,コーヒー・紅茶・飲料,砂糖,0,2025-12-29T21:09:00.752318
食料品>コーヒー類>インスタントコーヒー,食料品,コーヒー類,インスタントコーヒー,27,2025-12-29T05:22:07.493358
食料品>コーヒー類>コーヒー,食料品,コーヒー類,コーヒー,62,2025-12-29T05:22:07.408981
食料品>コーヒー類>ドリップコーヒー,食料品,コーヒー類,ドリップコーヒー,12,2025-12-29T05:22:07.341679
食料品>スイーツ・デザート>ゼリー,食料品,スイーツ・デザート,ゼリー,1,2025-12-29T22:41:56.708776
食料品>スパイス・調味料>スパイス・香辛料,食料品,スパイス・調味料,スパイス・香辛料,1,2025-12-29T21:54:58.47069
